product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Inert Anode + Grid,Rest of Asia,0,10%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,Rest of Asia,60,7%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,Rest of Asia,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,Rest of Asia,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,Rest of Asia,0,10%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,Rest of Asia,30,8%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,Russia,30,11%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,Russia,30,11%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,Russia,0,15%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,Russia,60,10%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,Russia,30,11%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,Russia,0,15%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,Russia,30,11%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,Russia,30,11%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,Russia,0,15%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,Russia,60,10%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,Russia,30,11%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Russia,30,11%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,Russia,0,15%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Russia,30,10%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,Russia,30,11%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,Russia,30,11%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,Russia,0,15%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,Russia,60,10%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,Russia,30,11%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,Russia,30,11%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,Russia,0,15%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,Russia,30,10%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,South America,30,11%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,South America,30,11%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,South America,0,15%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,South America,60,10%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,South America,30,11%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,South America,0,15%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,South America,30,11%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,South America,30,11%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,South America,0,15%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,South America,60,10%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,South America,30,11%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,South America,30,11%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,South America,0,15%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,South America,30,10%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,South America,30,11%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,South America,30,11%,end-state,,2030,,2020
